ranked_signal,frame,python_time_s,matlab_time_s,py_ANG_deg,mat_ANG_deg,diff_ANG_deg,abs_diff_ANG_deg,py_PEN_deg,mat_PEN_deg,diff_PEN_deg,abs_diff_PEN_deg,py_FL_mm,mat_FL_mm,diff_FL_mm,abs_diff_FL_mm
PEN_deg,1515,45.43954849243164,45.439533847603926,19.0,29.12696055067897,-10.12696055067897,10.12696055067897,20.30738639831543,30.089060387171855,-9.781673988856426,9.781673988856426,69.70075225830078,48.02668928120114,21.674062977099638,21.674062977099638
PEN_deg,440,13.196964263916016,13.196960325376715,19.0,28.8225210332861,-9.822521033286101,9.822521033286101,20.0209903717041,29.689715158621865,-9.668724786917764,9.668724786917764,70.37603759765625,47.383212547387664,22.992825050268586,22.992825050268586
PEN_deg,1518,45.5295295715332,45.52951312254967,19.0,28.84544744343025,-9.845447443430249,9.845447443430249,20.202497482299805,29.852496644189202,-9.649999161889397,9.649999161889397,69.9698486328125,48.126870288112634,21.842978344699866,21.842978344699866
PEN_deg,439,13.166971206665039,13.166967233728132,19.0,28.858853420174352,-9.858853420174352,9.858853420174352,20.188697814941406,29.72409734837442,-9.535399533433015,9.535399533433015,70.07083129882812,47.24532595628101,22.825505342547117,22.825505342547117
PEN_deg,2045,61.33589172363281,61.335872421353145,21.0,30.209162386562564,-9.209162386562564,9.209162386562564,22.176708221435547,31.67366200475299,-9.496953783317444,9.496953783317444,63.75819396972656,45.89456135033288,17.863632619393684,17.863632619393684
PEN_deg,965,28.943342208862305,28.943333440883023,21.0,30.889148450860077,-9.889148450860077,9.889148450860077,22.3889217376709,31.852521074973183,-9.463599337302284,9.463599337302284,64.3121566772461,45.25232188863768,19.059834788608413,19.059834788608413
PEN_deg,1521,45.6195068359375,45.61949239749542,19.0,28.64971834922515,-9.64971834922515,9.64971834922515,20.3359432220459,29.68423809426222,-9.348294872216321,9.348294872216321,69.75061798095703,48.53234131648704,21.21827666446999,21.21827666446999
FL_mm,437,13.106985092163086,13.106981050430964,17.0,29.03085726624413,-12.03085726624413,12.03085726624413,18.068368911743164,29.87671288550095,-11.808343973757786,11.808343973757786,77.60940551757812,47.11490999870256,30.494495518875567,30.494495518875567
FL_mm,438,13.136978149414062,13.136974142079548,17.0,28.88128510993316,-11.88128510993316,11.88128510993316,18.12181282043457,29.74727093500262,-11.625458114568051,11.625458114568051,77.60246276855469,47.19607694517149,30.406385823383197,30.406385823383197
FL_mm,441,13.226958274841309,13.226953417025298,17.0,28.77212276132709,-11.77212276132709,11.77212276132709,18.16204071044922,29.638811967350613,-11.476771256901394,11.476771256901394,77.50018310546875,47.5407573927242,29.959425712744547,29.959425712744547
