Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
56,2.24,449.42164855072974,-4.820157789456081,0.07154959404682729,6807.8072206501065,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
57,2.28,413.71355793953984,-4.820157219298876,0.07143954629399057,6266.903599557526,2.0,2.0,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
58,2.32,447.7423622026687,-4.818700838879754,0.07116131149800929,6782.369510288945,2.5,2.5,2,False,raw alpha jump 0.50deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
59,2.36,465.91122467371156,-4.8182570462166385,0.07089141194472834,7057.590148903559,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
60,2.4,469.8191854508789,-4.8181906144660935,0.06997915946326803,7116.78766126775,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
61,2.44,302.55119094946775,-4.81053027371803,0.06506486942443905,4583.023957577736,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
62,2.48,100.47472104906981,-4.812939177421586,0.06383412868930859,1521.9839401515899,2.5,2.5,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
63,2.52,38.5780146071518,-4.813871501734008,0.062391010180996936,584.377026001826,2.5,2.5,1,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
64,2.56,69.18966456341906,-4.684132721657372,0.060151672030073385,1048.0801259310815,2.5,2.5,3,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
65,2.6,82.31046091390826,-4.581517958486795,0.06322640351901322,1246.833017394113,2.5,2.5,2,False,raw alpha jump 0.00deg within limit,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
