rule_text,rule_json,flagged_frames,oracle_tp,oracle_fp,oracle_fn,oracle_precision,oracle_recall
gap_to_lower_deg >= 6 and best_upper_share <= 0.12 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 6.0], [""best_upper_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.18]]",51,12,39,116,0.23529411764705882,0.09375
mass_below_10deg >= 0.18 and best_upper_share <= 0.1 and delta_localmax_deg >= 6,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.1], [""delta_localmax_deg"", "">="", 6.0]]",17,4,13,124,0.23529411764705882,0.03125
mass_below_10deg >= 0.3 and best_upper_share <= 0.14,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.14]]",132,31,101,97,0.23484848484848486,0.2421875
mass_below_10deg >= 0.18 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""top_family_angle_offset"", ""<="", -6.0]]",64,15,49,113,0.234375,0.1171875
mass_below_10deg >= 0.18 and top_family_angle_offset <= -4 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.18], [""top_family_angle_offset"", ""<="", -4.0], [""selected_family_share"", ""<="", 0.18]]",64,15,49,113,0.234375,0.1171875
gap_to_lower_deg >= 8 and delta_localmax_deg >= 8 and selected_family_share <= 0.18,"[[""gap_to_lower_deg"", "">="", 8.0], [""delta_localmax_deg"", "">="", 8.0], [""selected_family_share"", ""<="", 0.18]]",30,7,23,121,0.23333333333333334,0.0546875
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 4 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 4.0], [""selected_family_share"", ""<="", 0.18]]",73,17,56,111,0.2328767123287671,0.1328125
mass_below_10deg >= 0.3 and best_upper_share <= 0.12 and delta_localmax_deg >= 8,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12], [""delta_localmax_deg"", "">="", 8.0]]",56,13,43,115,0.23214285714285715,0.1015625
mass_below_10deg >= 0.3 and best_upper_share <= 0.14 and delta_localmax_deg >= 6,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.14], [""delta_localmax_deg"", "">="", 6.0]]",69,16,53,112,0.2318840579710145,0.125
mass_below_10deg >= 0.18 and top_family_angle_offset <= -4,"[[""mass_below_10deg"", "">="", 0.18], [""top_family_angle_offset"", ""<="", -4.0]]",65,15,50,113,0.23076923076923078,0.1171875
mass_below_10deg >= 0.3 and best_upper_share <= 0.12 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12], [""selected_family_share"", ""<="", 0.18]]",87,20,67,108,0.22988505747126436,0.15625
mass_below_10deg >= 0.18 and best_upper_share <= 0.12 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.12], [""top_family_angle_offset"", ""<="", -6.0]]",61,14,47,114,0.22950819672131148,0.109375
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 6 and cum_before_selected >= 0.46,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 6.0], [""cum_before_selected"", "">="", 0.46]]",35,8,27,120,0.22857142857142856,0.0625
mass_below_10deg >= 0.18 and best_lower_gap >= 9 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0]]",57,13,44,115,0.22807017543859648,0.1015625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 4 and selected_is_top_family <= 0,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 4.0], [""selected_is_top_family"", ""<="", 0.0]]",79,18,61,110,0.22784810126582278,0.140625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 6 and best_lower_gap >= 9,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 6.0], [""best_lower_gap"", "">="", 9.0]]",79,18,61,110,0.22784810126582278,0.140625
mass_below_10deg >= 0.3 and best_upper_share <= 0.14 and selected_family_share <= 0.18,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.14], [""selected_family_share"", ""<="", 0.18]]",88,20,68,108,0.22727272727272727,0.15625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 4 and best_upper_share <= 0.12,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 4.0], [""best_upper_share"", ""<="", 0.12]]",53,12,41,116,0.22641509433962265,0.09375
mass_below_10deg >= 0.18 and best_upper_share <= 0.12 and top_family_angle_offset <= -4,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.12], [""top_family_angle_offset"", ""<="", -4.0]]",62,14,48,114,0.22580645161290322,0.109375
mass_below_10deg >= 0.18 and best_upper_share <= 0.14 and top_family_angle_offset <= -6,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.14], [""top_family_angle_offset"", ""<="", -6.0]]",62,14,48,114,0.22580645161290322,0.109375
mass_below_10deg >= 0.3 and best_upper_share <= 0.12 and cum_before_selected >= 0.46,"[[""mass_below_10deg"", "">="", 0.3], [""best_upper_share"", ""<="", 0.12], [""cum_before_selected"", "">="", 0.46]]",90,20,70,108,0.2222222222222222,0.15625
mass_below_10deg >= 0.3 and gap_to_lower_deg >= 8 and best_lower_gap >= 9,"[[""mass_below_10deg"", "">="", 0.3], [""gap_to_lower_deg"", "">="", 8.0], [""best_lower_gap"", "">="", 9.0]]",72,16,56,112,0.2222222222222222,0.125
mass_below_10deg >= 0.18 and best_upper_share <= 0.14 and top_family_angle_offset <= -4,"[[""mass_below_10deg"", "">="", 0.18], [""best_upper_share"", ""<="", 0.14], [""top_family_angle_offset"", ""<="", -4.0]]",63,14,49,114,0.2222222222222222,0.109375
best_lower_gap >= 9 and top_family_angle_offset <= -6 and cum_before_selected >= 0.46,"[[""best_lower_gap"", "">="", 9.0], [""top_family_angle_offset"", ""<="", -6.0], [""cum_before_selected"", "">="", 0.46]]",36,8,28,120,0.2222222222222222,0.0625
