frame,persistent_tracked_points,persistent_points_after_refresh,redetect_points,persistent_inliers,redetect_inliers,persistent_affine_ok,redetect_affine_ok,persistent_reinitialized
291,264,264,300,264,300,True,True,False
292,264,264,300,264,300,True,True,False
293,264,264,300,264,300,True,True,False
294,264,264,300,264,300,True,True,False
295,264,264,300,264,300,True,True,False
296,264,264,300,264,300,True,True,False
297,264,264,300,264,300,True,True,False
298,264,264,300,264,300,True,True,False
299,264,264,300,264,300,True,True,False
300,264,264,300,264,300,True,True,False
301,264,264,300,264,300,True,True,False
302,264,264,300,264,300,True,True,False
303,264,264,300,264,300,True,True,False
304,264,264,300,264,300,True,True,False
305,264,264,300,264,300,True,True,False
306,264,264,300,264,300,True,True,False
307,264,264,300,264,300,True,True,False
308,264,264,300,264,300,True,True,False
309,264,264,300,264,300,True,True,False
310,264,264,300,264,300,True,True,False
311,264,264,300,264,300,True,True,False
312,264,264,300,264,300,True,True,False
313,264,264,300,264,300,True,True,False
314,264,264,299,264,299,True,True,False
315,264,264,300,264,300,True,True,False
316,264,264,300,264,300,True,True,False
317,264,264,300,264,300,True,True,False
318,264,264,300,264,300,True,True,False
319,264,264,300,264,300,True,True,False
320,264,264,300,264,300,True,True,False
321,264,264,300,264,300,True,True,False
322,264,264,300,264,300,True,True,False
323,264,264,300,264,300,True,True,False
324,264,264,300,264,300,True,True,False
325,264,264,300,264,300,True,True,False
326,264,264,300,264,300,True,True,False
327,264,264,300,264,300,True,True,False
328,264,264,300,264,300,True,True,False
329,264,264,300,264,300,True,True,False
330,264,264,300,264,300,True,True,False
331,264,264,300,264,300,True,True,False
332,264,264,300,264,300,True,True,False
333,264,264,300,264,300,True,True,False
334,264,264,300,264,300,True,True,False
335,264,264,300,264,300,True,True,False
336,264,264,300,264,300,True,True,False
337,264,264,300,264,300,True,True,False
338,264,264,300,264,300,True,True,False
339,264,264,300,264,300,True,True,False
340,264,264,300,264,300,True,True,False
341,264,264,300,264,300,True,True,False
342,264,264,300,264,300,True,True,False
343,264,264,300,264,300,True,True,False
344,264,264,300,264,300,True,True,False
345,264,264,300,264,300,True,True,False
346,264,264,300,264,300,True,True,False
347,264,264,300,264,300,True,True,False
348,264,264,300,264,300,True,True,False
349,264,264,300,264,300,True,True,False
350,264,264,300,264,300,True,True,False
351,264,264,300,264,300,True,True,False
352,264,264,300,264,300,True,True,False
353,264,264,300,264,300,True,True,False
354,264,264,300,264,300,True,True,False
355,264,264,300,264,300,True,True,False
356,264,264,300,264,300,True,True,False
357,264,264,300,264,300,True,True,False
358,264,264,300,264,300,True,True,False
359,264,264,300,264,300,True,True,False
360,264,264,300,264,300,True,True,False
361,264,264,300,264,300,True,True,False
362,264,264,300,264,300,True,True,False
363,264,264,300,264,300,True,True,False
364,264,264,300,264,300,True,True,False
365,264,264,300,264,300,True,True,False
366,264,264,300,264,300,True,True,False
367,264,264,300,264,300,True,True,False
368,264,264,300,264,300,True,True,False
369,264,264,300,264,300,True,True,False
370,264,264,300,264,300,True,True,False
371,264,263,300,264,300,True,True,False
372,263,263,300,263,296,True,True,False
373,263,263,300,263,300,True,True,False
374,263,263,300,263,300,True,True,False
375,263,262,265,263,265,True,True,False
376,262,260,300,262,300,True,True,False
377,260,260,300,260,300,True,True,False
378,260,260,266,260,266,True,True,False
379,260,260,262,260,262,True,True,False
380,260,260,300,260,300,True,True,False
381,260,260,300,260,300,True,True,False
382,260,260,300,260,300,True,True,False
383,260,260,300,260,300,True,True,False
384,260,260,300,260,300,True,True,False
385,260,260,300,260,300,True,True,False
386,260,260,300,260,300,True,True,False
387,260,260,300,260,300,True,True,False
388,260,260,300,260,300,True,True,False
389,260,260,300,260,300,True,True,False
390,260,260,300,260,300,True,True,False
391,260,260,300,260,300,True,True,False
392,260,260,300,260,300,True,True,False
393,260,260,300,260,300,True,True,False
394,260,260,254,260,254,True,True,False
395,260,260,300,260,300,True,True,False
396,260,260,300,260,300,True,True,False
397,260,260,300,260,300,True,True,False
398,260,260,300,260,300,True,True,False
399,260,260,294,260,294,True,True,False
400,260,260,300,260,300,True,True,False
401,260,260,300,260,300,True,True,False
402,260,260,300,260,300,True,True,False
403,260,260,300,260,300,True,True,False
404,260,260,300,260,300,True,True,False
405,260,260,300,260,300,True,True,False
406,260,260,300,260,300,True,True,False
407,260,260,278,260,278,True,True,False
408,260,260,300,260,300,True,True,False
409,260,260,300,260,300,True,True,False
410,260,260,249,260,249,True,True,False
411,260,260,300,260,300,True,True,False
412,260,260,264,260,264,True,True,False
413,260,260,300,260,300,True,True,False
414,260,260,300,260,300,True,True,False
415,260,260,300,260,300,True,True,False
416,260,260,300,260,300,True,True,False
417,260,260,300,260,300,True,True,False
418,260,260,300,260,300,True,True,False
419,260,260,300,260,300,True,True,False
420,260,260,300,260,300,True,True,False
