Frame,Time,FL,PEN,ANG,FL_px,TimTrackAlpha,RawTimTrackAlpha,HoughBaselineAlpha,HoughPeakSource,HoughLocalmaxFallbackUsed,HoughFallbackMassBelow10Deg,HoughFallbackGapToLowerDeg,FascicleCandidateIdx,FascicleRawRejected,FascicleSelectionReason,SuperApoRejected,DeepApoRejected,SuperApoSoftDownweighted,DeepApoSoftDownweighted,SuperApoGateReason,DeepApoGateReason,R_t_x_variance,R_t_alpha_variance,R_t_length_variance,R_t_theta_variance,kalman_measurement_r_scale,kalman_measurement_r_scale_theta,kalman_measurement_r_scale_length
43,3.909090909090909,87.93157944400566,-13.471241109625339,-13.530000262728578,1387.4805434951584,-7.0,-7.0,-7.0,houghpeaks,False,0.0,0.5,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
44,4.0,87.9385896085154,-13.485010008557879,-13.555086353044373,1387.591157530815,-9.0,-9.0,-9.0,houghpeaks,False,0.0,1.5,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
45,4.090909090909091,87.05333266312627,-13.669229645773896,-13.674935023142837,1373.6226061242803,-13.5,-13.5,-13.5,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
46,4.181818181818182,86.65966634133812,-13.726478576346041,-13.710375550488237,1367.4109087390632,-12.5,-12.5,-12.5,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
47,4.2727272727272725,86.27795656969326,-13.732759347436627,-13.733055514875389,1361.3878748669547,-9.5,-9.5,-9.5,houghpeaks,False,0.0,6.0,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
48,4.363636363636363,85.82997156955844,-13.698955212227077,-13.712849674791471,1354.319078020646,-9.0,-9.0,-9.0,houghpeaks,False,0.0,4.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
49,4.454545454545454,85.30670031009211,-13.762595692382263,-13.793480079513131,1346.0623323091456,-12.5,-12.5,-12.5,houghpeaks,False,0.0,1.0,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
50,4.545454545454546,85.1075814662965,-13.788372368870995,-13.823536827946157,1342.920417614146,-14.0,-14.0,-14.0,houghpeaks,False,0.0,1.5,3,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
51,4.636363636363637,85.07740608277352,-13.80420319601916,-13.813534319794229,1342.4442774402132,-13.0,-13.0,-13.0,houghpeaks,False,0.0,1.0,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
52,4.7272727272727275,84.98878947297995,-13.776842758039294,-13.783988048032114,1341.0459877393284,-12.5,-12.5,-12.5,houghpeaks,False,0.0,0.5,0,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
53,4.818181818181818,84.81490104755581,-13.791506703739554,-13.788756516122504,1338.3021861547268,-12.0,-12.0,-12.0,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
54,4.909090909090909,84.96248916531955,-13.759988850058875,-13.768138845895919,1340.6309927466596,-12.0,-12.0,-12.0,houghpeaks,False,0.0,1.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
55,5.0,84.99877477634959,-13.705968954120067,-13.7569580543867,1341.2035467668575,-12.5,-12.5,-12.5,houghpeaks,False,0.0,1.0,5,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
56,5.090909090909091,85.03906117076514,-13.685785715977147,-13.731704740744476,1341.8392295189765,-13.0,-13.0,-13.0,houghpeaks,False,0.0,1.0,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
57,5.181818181818182,84.68050375931959,-13.71452929948643,-13.746574553922926,1336.1815188847272,-12.5,-12.5,-12.5,houghpeaks,False,0.08672566371681416,1.5,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
58,5.2727272727272725,84.2237484932321,-13.765514459212852,-13.777354223791349,1328.9743351989284,-12.0,-12.0,-12.0,houghpeaks,False,0.0,1.0,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
59,5.363636363636363,83.28874071732388,-13.807323005364566,-13.812352799846167,1314.2207608256233,-9.0,-9.0,-9.0,houghpeaks,False,0.0,1.5,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
60,5.454545454545454,87.63288897057434,-13.008309731495416,-13.012102472427841,1382.7674788256306,-10.5,-10.5,-10.5,houghpeaks,False,0.0,0.5,2,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
61,5.545454545454546,88.15093177830256,-12.892114127912162,-12.890991857195843,1390.9417243124665,-11.5,-11.5,-11.5,houghpeaks,False,0.0,1.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
62,5.636363636363637,87.06112091873072,-13.044733687326698,-13.10415327409305,1373.7454977314512,-15.0,-15.0,-15.0,houghpeaks,False,0.0,1.0,6,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
63,5.7272727272727275,84.79818149677595,-13.242681260669567,-13.23135495570557,1338.0383668130328,-13.0,-13.0,-13.0,houghpeaks,False,0.0,1.0,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
64,5.818181818181818,84.07781700023524,-13.239078630742272,-13.22531011623596,1326.671668642765,-13.0,-13.0,-13.0,houghpeaks,False,0.0,0.5,4,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
65,5.909090909090909,83.56884261758886,-13.229127243217151,-13.226619153970006,1318.6405146759582,-10.0,-10.0,-10.0,houghpeaks,False,0.0,2.5,7,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
66,6.0,81.9283168409745,-13.479618525487325,-13.505749936399894,1292.7545063664616,-12.5,-12.5,-12.5,houghpeaks,False,0.0,1.0,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
67,6.090909090909091,81.86518145785232,-13.495256760879357,-13.52104093957189,1291.7582873033896,-14.5,-14.5,-14.5,houghpeaks,False,0.0,0.5,1,False,candidate persistence disabled,False,False,False,False,,,100.0,3.055292111054342,100.0,3.055292111054342,1.0,1.0,1.0
