variant,note,aligned_frame,python_frame,matlab_alpha_deg,matlab_alpha_reconstructed_deg,python_alpha_deg,abs_raw_error_deg,nearest_python_peak_to_matlab_deg,python_peak_hit_1deg,python_peak_hit_2deg,python_cum_weight_at_matlab_alpha,python_mass_within_2deg_of_matlab,python_peak_count,python_profile_max,python_profile_at_matlab_alpha,matlab_alpha_nearest_gamma_grid_deg,bias_mode
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,1234,1235,19.5,19.5,31.0,11.5,1.5,False,True,0.30269058295964124,0.10612855007473841,10,308.0,195.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,1234,1235,19.5,19.5,11.5,8.0,1.5,False,True,0.833587786259542,0.10687022900763359,10,222.0,189.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,2215,2216,17.5,17.5,30.0,12.5,0.0,True,True,0.29396802325581395,0.09702034883720931,10,312.0,221.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,2215,2216,17.5,17.5,31.5,14.0,0.0,True,True,0.1973125884016973,0.09441301272984441,10,312.0,221.0,0.0,higher-angle overweight before matlab
no_radius_correction,disable ellipse/radius correction,2215,2216,17.5,17.5,8.0,9.5,0.0,True,True,0.9999999999999999,0.09389671361502347,10,240.0,214.0,0.0,lower-angle overweight before matlab
no_diag_no_radius,disable both diagonal replacement and radius correction,2215,2216,17.5,17.5,8.0,9.5,0.0,True,True,0.9999999999999999,0.09389671361502347,10,240.0,214.0,0.0,lower-angle overweight before matlab
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,2215,2216,17.5,17.5,27.5,10.0,0.0,True,True,0.3051678611844587,0.1007167106752169,10,312.0,221.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,2215,2216,17.5,17.5,10.5,7.0,0.0,True,True,0.9148832684824902,0.18433852140077822,10,240.0,214.0,0.0,lower-angle overweight before matlab
baseline_current,current Python Hough path,2520,2521,25.0,25.0,37.0,12.0,0.5,True,True,0.09865824782951854,0.19376479873717442,10,276.0,184.0,0.0,higher-angle overweight before matlab
no_diagonal_replacement,disable 45 deg diagonal replacement,2520,2521,25.0,25.0,45.0,20.0,10.5,False,False,0.0,0.0,10,291.0,184.0,0.0,matlab candidate absent in python peaks
no_radius_correction,disable ellipse/radius correction,2520,2521,25.0,25.0,11.5,13.5,9.0,False,False,1.0,0.0,10,203.0,178.0,0.0,matlab candidate absent in python peaks
no_diag_no_radius,disable both diagonal replacement and radius correction,2520,2521,25.0,25.0,11.5,13.5,9.0,False,False,1.0,0.0,10,203.0,178.0,0.0,matlab candidate absent in python peaks
angle_profile_localmax,replace 2D houghpeaks with 1D angle-profile local maxima,2520,2521,25.0,25.0,38.0,13.0,0.5,True,True,0.09984025559105432,0.19608626198083068,10,276.0,184.0,0.0,higher-angle overweight before matlab
angle_profile_localmax_no_radius,1D angle-profile local maxima without radius correction,2520,2521,25.0,25.0,16.0,9.0,0.5,True,True,1.0,0.1769759450171821,10,203.0,178.0,0.0,lower-angle overweight before matlab
