variant,FL_RMSE_mm,PEN_RMSE_deg,ANG_RMSE_deg,passes_final_targets,prior_angle_RMSE_vs_MATLAB_final_deg,prior_angle_RMSE_vs_Python_TimTrack_deg,prior_xsup_RMSE_vs_MATLAB_raw_px,prior_length_RMSE_vs_MATLAB_raw_mm,seed_alpha_deg,target_score,seed_xsup,seed_ysup,seed_xdeep,seed_ydeep
calibrated_seed_17.95,1.806846584665774,0.9589029342211016,0.9692564511899843,True,3.269239274928595,3.8297597640725414,17.780036692929553,4.6996592954105845,17.95,0.9692564511899843,744.5857998220846,55.700563532502514,-38.58579242111677,309.4130539032006
calibrated_seed_16.90,1.9397998038867026,0.9028835202693777,0.9068713948327155,True,2.615806367869173,3.6208389922562927,18.36529139154973,3.1452592120622618,16.9,0.9698999019433513,768.3839893591397,56.26579490708542,-62.383989721919285,308.6724056764309
calibrated_seed_18.00,1.8223103661522106,0.9709156627716884,0.9814232686120224,True,3.3340674869650897,3.870820267692911,18.49932207220145,4.831358941331281,18.0,0.9814232686120224,743.5138907419893,55.67510459404724,-37.51388949739682,309.44641369888967
calibrated_seed_16.85,1.9669814154131793,0.9105444987075425,0.9141334198333947,True,2.625243530391581,3.64226627879813,19.20276304626212,3.1761070435782877,16.85,0.9834907077065896,769.5824078873931,56.294258574499906,-63.582416008036674,308.6351082167743
calibrated_seed_18.05,1.839524379662786,0.9835749898595761,0.9942238245100838,True,3.401047883701286,3.914365629415885,19.24928989899868,4.964943415662895,18.05,0.9942238245100838,742.4472325188425,55.64977036882223,-36.44723428158095,309.4796101752523
calibrated_seed_16.80,1.9957280553046124,0.9190966258559796,0.922286899174161,True,2.638445089710698,3.6662592953986675,20.083389504068197,3.2192524141997385,16.8,0.9978640276523062,770.7871280730889,56.32287191273255,-64.7871333524328,308.59761496660883
calibrated_seed_18.10,1.8584828652633445,0.9968783108602913,1.0076556300136097,False,3.4701862302608433,3.960414186498832,20.024528329041953,5.100067834434085,18.1,1.0076556300136097,741.3857783324705,55.624559744800365,-35.385793298607844,309.5126443741003
calibrated_seed_16.75,2.0259693548542024,0.9285255285493426,0.9313180677781651,False,2.6553225888711047,3.692731041542517,21.00044851440267,3.274348393100153,16.75,1.0129846774271012,771.9981884150485,56.351635836169805,-65.99820616564163,308.55992392134794
calibrated_seed_18.15,1.879078474728094,1.0107678552767803,1.021661917927791,False,3.541269529200252,4.008818124744786,20.820995758413922,5.2365097522867625,18.15,1.021661917927791,740.3295007708782,55.599472070918694,-34.3295148695352,309.5455179037874
calibrated_seed_16.70,2.057697390502661,0.9388031031970596,0.9412003883788047,False,2.6758038473538517,3.7216833547129466,21.95403682951417,3.3410786383706146,16.7,1.0288486952513305,773.2156677694483,56.3805522177266,-67.21566051258985,308.52203426979816
calibrated_seed_18.20,1.901289134117232,1.0252382004938199,1.0362375919732194,False,3.614302603770385,4.059589294144626,21.637297754264836,5.374212194472979,18.2,1.0362375919732194,739.27835577731,55.57450630078415,-33.27836441067054,309.57823184062835
calibrated_seed_16.65,2.0907931829726816,0.9499075313369323,0.9519127758108584,False,2.6997674868966235,3.752957043650118,22.9379743185294,3.419007082528577,16.65,1.0453965914863408,774.4395806098438,56.40962140116466,-68.43958654240717,308.48394320633554
