frame,baseline_alpha_deg,matlab_alpha_deg,baseline_raw_error_deg,localmax_alpha_deg,delta_localmax_deg,mass_below_8deg,mass_below_10deg,gap_to_lower_deg,oracle_high_angle_overweight
189,28.5,26.0,2.5,27.5,1.0,0.19568397951719094,0.19568397951719094,1.0,False
190,28.0,27.5,0.5,26.5,1.5,0.0,0.0,0.5,False
191,27.0,27.5,-0.5,27.5,-0.5,0.09226298583363603,0.09226298583363603,0.5,False
192,28.0,26.5,1.5,25.0,3.0,0.1875677629201301,0.1875677629201301,1.0,False
193,27.5,26.5,1.0,27.5,0.0,0.093871767623096,0.093871767623096,1.0,False
194,26.5,26.5,0.0,17.0,9.5,0.18893528183716074,0.18893528183716074,2.0,False
195,27.0,26.5,0.5,24.5,2.5,0.0,0.0,0.5,False
196,27.5,26.5,1.0,27.5,0.0,0.0,0.0,0.5,False
197,27.5,27.0,0.5,27.5,0.0,0.09513667021654242,0.0,1.0,False
198,26.5,26.5,0.0,27.5,-1.0,0.09669302659956866,0.09669302659956866,0.5,False
199,26.0,26.0,0.0,26.5,-0.5,0.20141342756183744,0.20141342756183744,3.0,False
200,26.5,25.5,1.0,26.5,0.0,0.09717756341550554,0.09717756341550554,1.5,False
201,26.0,25.5,0.5,24.5,1.5,0.19879518072289157,0.19879518072289157,1.5,False
202,25.5,23.0,2.5,25.5,0.0,0.09061946902654867,0.09061946902654867,0.5,False
203,26.0,25.0,1.0,25.5,0.5,0.0,0.0,0.5,False
204,25.5,25.5,0.0,25.5,0.0,0.09655898876404495,0.09655898876404495,0.5,False
205,25.0,25.0,0.0,21.5,3.5,0.0979020979020979,0.0979020979020979,0.5,False
206,24.5,24.0,0.5,19.0,5.5,0.09193377949982388,0.0,0.5,False
207,25.0,24.0,1.0,21.0,4.0,0.0,0.0,1.0,False
208,25.0,23.5,1.5,23.5,1.5,0.0,0.0,0.5,False
209,23.0,23.5,-0.5,23.0,0.0,0.19592963090720938,0.19592963090720938,0.5,False
210,23.0,23.0,0.0,22.5,0.5,0.0,0.0,0.5,False
211,24.0,22.5,1.5,23.0,1.0,0.09503695881731784,0.09503695881731784,1.0,False
212,23.5,22.5,1.0,20.0,3.5,0.09962341663813762,0.0,0.5,False
213,23.0,22.5,0.5,17.0,6.0,0.20089593383873192,0.09441764300482426,0.5,False
214,23.0,22.0,1.0,14.5,8.5,0.2042031523642732,0.09632224168126094,0.5,False
215,22.5,22.0,0.5,22.5,0.0,0.19771735481705272,0.09063444108761329,1.5,False
216,22.0,22.0,0.0,16.0,6.0,0.0,0.0,1.5,False
217,22.0,22.0,0.0,19.0,3.0,0.0,0.0,1.5,False
218,22.0,22.0,0.0,18.5,3.5,0.09173669467787114,0.0,1.5,False
219,22.5,21.5,1.0,22.5,0.0,0.0,0.0,1.0,False
220,22.5,22.0,0.5,16.5,6.0,0.09436048654625875,0.09436048654625875,0.5,False
221,21.5,21.5,0.0,21.0,0.5,0.09391675560298826,0.09391675560298826,1.5,False
222,21.5,20.0,1.5,21.5,0.0,0.09410919540229885,0.09410919540229885,1.5,False
223,21.5,21.0,0.5,23.5,-2.0,0.18814341498047568,0.18814341498047568,0.5,False
224,23.5,16.0,7.5,19.5,4.0,0.09586662035428968,0.09586662035428968,1.0,False
225,20.5,20.0,0.5,18.0,2.5,0.1940090560780216,0.09892023685127134,1.0,False
226,21.5,19.0,2.5,19.0,2.5,0.29327259985984583,0.1958654519971969,2.5,False
227,21.0,15.5,5.5,15.0,6.0,0.30086058519793457,0.30086058519793457,2.0,True
228,20.5,19.0,1.5,20.0,0.5,0.30433238636363635,0.30433238636363635,0.5,False
229,21.0,15.5,5.5,20.0,1.0,0.2151450813871196,0.2151450813871196,2.0,True
230,20.0,19.0,1.0,19.5,0.5,0.19652974504249293,0.09277620396600567,0.5,False
231,20.0,20.0,0.0,21.5,-1.5,0.09376089229696759,0.09376089229696759,1.0,False
232,20.5,20.0,0.5,20.0,0.5,0.0917907862833391,0.0,0.5,False
233,20.5,20.0,0.5,20.5,0.0,0.09430727023319616,0.0,0.5,False
234,20.5,19.0,1.5,20.5,0.0,0.0,0.0,0.5,False
235,20.5,19.5,1.0,15.0,5.5,0.09337349397590361,0.0,0.5,False
236,20.5,19.5,1.0,19.0,1.5,0.09378117725307615,0.0,0.5,False
237,20.5,19.5,1.0,15.0,5.5,0.09324866310160428,0.0,0.5,False
238,20.5,20.0,0.5,20.0,0.5,0.09148580968280468,0.0,0.5,False
239,21.5,20.5,1.0,15.0,6.5,0.091580006709158,0.091580006709158,1.0,False
240,21.0,20.5,0.5,15.0,6.0,0.18337244384847468,0.09218907140462622,0.5,False
241,21.0,20.5,0.5,15.0,6.0,0.1858288770053476,0.09258021390374331,0.5,False
242,21.5,20.5,1.0,20.0,1.5,0.18560479840053318,0.0923025658113962,1.0,False
243,21.5,20.5,1.0,20.0,1.5,0.2744186046511628,0.1803986710963455,1.0,False
244,21.0,20.5,0.5,20.0,1.0,0.2765464770095931,0.09096923585841879,0.5,False
245,21.5,20.5,1.0,15.0,6.5,0.2774490466798159,0.09105851413543721,1.0,False
246,21.0,20.5,0.5,19.5,1.5,0.2757825370675453,0.09060955518945635,0.5,False
247,21.5,20.5,1.0,15.0,6.5,0.2781456953642384,0.09205298013245033,1.0,False
248,21.5,20.5,1.0,18.5,3.0,0.27920133111480866,0.09217970049916806,1.0,False
249,21.0,20.5,0.5,15.0,6.0,0.2771362586605081,0.093038601121742,0.5,False
