row,frame,matlab_alpha,python_alpha,alpha_error_python_minus_matlab,abs_alpha_error,selected_line_alpha,py_first_peak_alpha,py_first_peak_weight,py_total_peak_weight,py_weighted_peak_spread,py_nearest_peak_to_matlab,py_nearest_peak_distance_to_matlab,py_nearest_peak_index,matlab_first_peak_alpha,matlab_first_peak_weight,matlab_total_peak_weight,matlab_weighted_peak_spread,matlab_nearest_peak_to_python,matlab_nearest_peak_distance_to_python,matlab_nearest_peak_index,mask_density,n_fascicle_candidates,category
51,51,23.5,24.0,0.5,0.5,18.434947967529297,24.0,284.0,2175.0,3.2616091954022988,24.0,0.5,0,23.5,340.0,2890.0,2.6427335640138407,23.5,0.5,0,0.08699914813041687,108.0,matched within 1 deg
52,52,21.0,24.0,3.0,3.0,20.323135375976562,24.0,267.0,1927.0,5.55630513751946,21.0,0.0,9,23.5,324.0,2784.0,4.640086206896552,23.5,0.5,0,0.07333780825138092,92.0,"peak exists, weighted median differs"
53,53,23.0,24.0,1.0,1.0,21.801406860351562,24.0,324.0,2428.0,4.615733113673806,24.0,1.0,0,24.5,333.0,2840.0,4.546478873239437,24.5,0.5,0,0.10349854081869125,136.0,matched within 1 deg
54,54,23.5,20.0,-3.5,3.5,19.5024471282959,24.0,349.0,2372.0,7.43929173693086,24.0,0.5,0,23.5,342.0,2899.0,5.77440496723008,19.5,0.5,1,0.09960266947746277,114.0,"peak exists, weighted median differs"
55,55,20.0,24.0,4.0,4.0,19.79887580871582,24.0,339.0,2220.0,5.1247747747747745,20.0,0.0,4,24.0,342.0,2803.0,6.175169461291474,24.0,0.0,0,0.08537372201681137,134.0,"peak exists, weighted median differs"
56,56,21.5,24.0,2.5,2.5,24.507404327392578,24.0,287.0,2210.0,9.15339366515837,21.0,0.5,8,24.5,334.0,2801.0,5.007675830060693,24.5,0.5,0,0.08049098402261734,107.0,"peak exists, weighted median differs"
57,57,24.0,24.0,0.0,0.0,21.250503540039062,24.0,295.0,2298.0,7.984769364664926,24.0,0.0,0,24.5,333.0,2797.0,4.214336789417232,24.0,0.0,9,0.0849931612610817,140.0,matched within 1 deg
58,58,23.5,24.0,0.5,0.5,23.198589324951172,24.0,287.0,2342.0,7.90264730999146,24.0,0.5,0,25.0,323.0,2830.0,4.794169611307421,23.5,0.5,2,0.08805051445960999,84.0,matched within 1 deg
59,59,21.5,24.0,2.5,2.5,-19.798873901367188,25.0,302.0,2319.0,3.783958602846054,23.0,1.5,3,25.0,332.0,2838.0,4.411557434813249,23.5,0.5,5,0.09184963256120682,126.0,nearest Python peak also far
60,60,21.0,24.0,3.0,3.0,-24.145538330078125,25.0,294.0,2234.0,5.362578334825425,23.0,2.0,4,25.0,313.0,2823.0,4.887708111937655,24.0,0.0,8,0.08704429864883423,112.0,nearest Python peak also far
61,61,17.0,24.0,7.0,7.0,22.83365249633789,26.0,286.0,2190.0,6.930593607305936,13.0,4.0,1,25.5,342.0,2844.0,5.352496483825598,23.5,0.5,2,0.08226476609706879,105.0,nearest Python peak also far
62,62,17.0,25.0,8.0,8.0,23.459022521972656,28.0,262.0,2068.0,7.537234042553192,13.0,4.0,4,14.0,315.0,2884.0,6.205617198335645,24.5,0.5,4,0.07647901028394699,109.0,nearest Python peak also far
63,63,17.0,24.0,7.0,7.0,22.285585403442383,26.0,238.0,2031.0,6.285573609059576,17.0,0.0,7,12.5,338.0,2918.0,6.63262508567512,24.0,0.0,6,0.0753437876701355,90.0,"peak exists, weighted median differs"
64,64,15.0,26.0,11.0,11.0,23.025489807128906,28.0,233.0,1954.0,6.830092118730809,13.0,2.0,2,27.0,315.0,2821.0,7.41173342786246,25.5,0.5,1,0.06829381734132767,89.0,nearest Python peak also far
65,65,24.5,24.0,-0.5,0.5,-19.536651611328125,26.0,241.0,1918.0,3.7940563086548487,24.0,0.5,3,26.0,329.0,2835.0,6.593827160493827,24.5,0.5,6,0.07291854918003082,119.0,matched within 1 deg
66,66,21.5,25.0,3.5,3.5,22.166345596313477,26.0,231.0,1800.0,6.695555555555556,23.0,1.5,6,25.5,333.0,2860.0,6.197902097902098,25.5,0.5,0,0.0648559033870697,80.0,nearest Python peak also far
67,67,16.0,25.0,9.0,9.0,30.963756561279297,27.0,222.0,1867.0,5.677557579003749,13.0,3.0,2,25.5,329.0,2795.0,6.238819320214669,25.5,0.5,0,0.06530096381902695,84.0,nearest Python peak also far
68,68,21.5,24.0,2.5,2.5,20.772253036499023,28.0,235.0,1915.0,5.415143603133159,20.0,1.5,6,25.5,318.0,2879.0,6.800451545675582,24.0,0.0,8,0.06939033418893814,97.0,nearest Python peak also far
69,69,19.5,26.0,6.5,6.5,30.650667190551758,28.0,226.0,1921.0,6.810515356585112,21.0,1.5,6,26.5,306.0,2841.0,6.602252727912707,26.5,0.5,0,0.06964834034442902,80.0,nearest Python peak also far
70,70,21.5,27.0,5.5,5.5,21.63088607788086,27.0,269.0,2185.0,5.870938215102975,25.0,3.5,5,26.5,328.0,2853.0,6.4645986680686995,27.0,0.0,3,0.08398694545030594,109.0,nearest Python peak also far
