family,method,block_size,offset,offset_units,candidate_index,target,mean_iou,mean_dice,mean_mae,mean_target_density,mean_pred_density,mean_density_bias,mean_abs_density_bias,min_iou,min_dice
cv2,gaussian,71,-15.0,uint8_C,46,apo_thres_from_raw_red_channel,0.5821384253352665,0.7351960441399742,0.12674393466384837,0.3009349338046927,0.1800197034512964,-0.12091523035339637,0.12091523035339637,0.5239832161013999,0.687649589005101
cv2,mean,31,-15.0,uint8_C,57,apo_thres_from_raw_red_channel,0.581351798089616,0.734568096482205,0.12803266807581626,0.3009349338046927,0.1838920645162013,-0.11704286928849145,0.11704286928849145,0.5235528596187176,0.6872788906710349
skimage,gaussian,61,-0.058823529411764705,float01_offset,145,apo_thres_from_raw_red_channel,0.5813116478692718,0.7345029518776136,0.12733565428564067,0.3009349338046927,0.181133973387459,-0.11980096041723375,0.11980096041723375,0.5223400556328234,0.6862330839947468
cv2,mean,71,10.0,uint8_C,106,apo_thres_from_raw_red_channel,0.5795088428509416,0.7329067925423228,0.22040505770456473,0.3009349338046927,0.5213399915092576,0.22040505770456473,0.22040505770456473,0.5056652394720413,0.6716834874256005
cv2,gaussian,31,-10.0,uint8_C,3,apo_thres_from_raw_red_channel,0.5780203781650473,0.7321760161665694,0.13274962278924252,0.3009349338046927,0.19673179222996245,-0.1042031415747303,0.1042031415747303,0.5325196327274586,0.6949596225135749
cv2,gaussian,51,5.0,uint8_C,28,apo_thres_from_raw_red_channel,0.5761700884836285,0.7304246444741165,0.20918478790506048,0.3009349338046927,0.47349751382546035,0.17256258002076758,0.17256258002076758,0.5060235233687975,0.6719994947182265
skimage,mean,71,0.0392156862745098,float01_offset,216,apo_thres_from_raw_red_channel,0.5733982045200107,0.7279239141922699,0.22617467406414205,0.3009349338046927,0.5271084877181074,0.22617355391341457,0.22617355391341457,0.4964226101470946,0.663479162612088
skimage,gaussian,51,0.0196078431372549,float01_offset,138,apo_thres_from_raw_red_channel,0.5724932142202457,0.7273886017828005,0.21405548330583363,0.3009349338046927,0.48241363357853434,0.18147869977384157,0.18147869977384157,0.49944311631179894,0.6661714751010843
cv2,gaussian,61,-15.0,uint8_C,35,apo_thres_from_raw_red_channel,0.5675204870842886,0.7233660491613971,0.13152473796874106,0.3009349338046927,0.17687263998243605,-0.12406229382225671,0.12406229382225671,0.5088289760822126,0.6744687226294196
cv2,mean,61,10.0,uint8_C,95,apo_thres_from_raw_red_channel,0.5643893342055555,0.7206135625671866,0.23457832485939306,0.3009349338046927,0.5354527705248019,0.234517836720109,0.234517836720109,0.48974454636288395,0.6574879532985222
skimage,gaussian,51,-0.058823529411764705,float01_offset,134,apo_thres_from_raw_red_channel,0.5623293605856108,0.7190987985836169,0.13352084656511376,0.3009349338046927,0.17683791530988413,-0.12409701849480864,0.12409701849480864,0.5036415246660128,0.6698957383181886
skimage,mean,61,0.0392156862745098,float01_offset,205,apo_thres_from_raw_red_channel,0.558489676953578,0.7157054835521547,0.24045183519894436,0.3009349338046927,0.5412613121221591,0.2403263783174664,0.2403263783174664,0.48085692270769387,0.6494306307843221
skimage,mean,71,-0.0784313725490196,float01_offset,210,apo_thres_from_raw_red_channel,0.5517435540204958,0.7105262959258002,0.13474125078270532,0.3009349338046927,0.1662888958338234,-0.13464603797086935,0.13464603797086935,0.4980780175999299,0.6649560460114093
skimage,mean,61,-0.0784313725490196,float01_offset,199,apo_thres_from_raw_red_channel,0.549905309378508,0.7089274170664839,0.13530160618412815,0.3009349338046927,0.16580303045577813,-0.13513190334891464,0.13513190334891464,0.4939016381959706,0.6612237721251905
cv2,gaussian,51,-15.0,uint8_C,24,apo_thres_from_raw_red_channel,0.5484471794502774,0.7076070359076172,0.13767884606552658,0.3009349338046927,0.1722912235070351,-0.12864371029765764,0.12864371029765764,0.48947793536508044,0.6572476486469151
cv2,mean,51,10.0,uint8_C,84,apo_thres_from_raw_red_channel,0.5461193484598224,0.7054871490745865,0.25230106963192966,0.3009349338046927,0.5523163596893599,0.25138142588466705,0.25138142588466705,0.4702554361038886,0.639692157643089
cv2,mean,71,-20.0,uint8_C,100,apo_thres_from_raw_red_channel,0.5452544136139266,0.7051652597955028,0.13668331210647705,0.3009349338046927,0.16425162169821572,-0.13668331210647705,0.13668331210647705,0.49360360754783067,0.6609566354197811
cv2,mean,61,-20.0,uint8_C,89,apo_thres_from_raw_red_channel,0.5433379299317587,0.7034950100164129,0.1372621499949033,0.3009349338046927,0.16371927006497997,-0.1372156637397128,0.1372156637397128,0.48963295040627625,0.6573873789146996
skimage,mean,51,-0.0784313725490196,float01_offset,188,apo_thres_from_raw_red_channel,0.5429350069103132,0.7030370054304461,0.1378446283731939,0.3009349338046927,0.1652863609327271,-0.13564857287196566,0.13564857287196566,0.4838695587605811,0.6521726332397285
