cluster_id,frame_coverage,n_candidates,cluster_score,mean_score,median_alpha_deg,alpha_std_deg,median_length_px,length_std_px,median_length_mm,length_std_mm,median_x_mid,x_mid_std,mean_mask_support,mean_hough_score,hough_peak_fraction
a-49.25_x400_lp350,11,22,0.9239220029502531,0.4863552710354197,-49.3,0.04810456929208073,343.37250787407123,11.769413594600392,,,399.9999986221925,1.2489187080450015e-06,0.5616363636363636,0.7139549543235355,0.0
a-49.50_x400_lp350,11,33,0.9227131821015754,0.4854203246823726,-49.4,0.061657545301139684,342.856368656734,11.791933398196145,,,400.0000006177542,1.1007489246102315e-06,0.5641818181818181,0.7118359754545961,0.0
a-49.75_x400_lp350,11,22,0.9194688618625609,0.48181322273370086,-49.7,0.0445361771415098,341.3234357785591,11.629098626478179,,,400.0000002452697,8.434519520566841e-07,0.5658181818181819,0.7153721875248092,0.0
a-50.00_x400_lp350,11,33,0.9164957783282631,0.47853059108291424,-49.9,0.028747978728803858,340.3142385956426,11.67882544060032,,,399.99999958218757,1.385580192530521e-06,0.5634545454545455,0.7032561751304253,0.0
a-50.25_x400_lp350,11,22,0.9131647458982091,0.4754915000201652,-50.2,0.0445361771415098,338.8192934395693,11.488244633008312,,,399.9999991465703,9.91082515450203e-07,0.5632727272727274,0.7047991531982818,0.0
a-50.50_x400_lp350,11,31,0.909965631831451,0.47227724066790844,-50.4,0.044536177141512964,337.83506673972056,11.367082349018546,,,400.00000066876146,1.068522200316946e-06,0.562,0.6991151993223315,0.0
a-42.25_x400_lp400,9,17,0.903021347255414,0.5454540222800492,-42.2,0.04714045207910049,402.37432930891845,11.918927864425347,,,400.00000002034295,9.278760794735792e-07,0.5315555555555556,0.7329915567120965,0.0
a-39.75_x400_lp400,9,17,0.8963579159856107,0.5389662944742202,-39.8,0.04714045207910049,401.26008211226974,13.324555576219817,,,399.99999993085845,4.2083814452874353e-07,0.5133333333333333,0.7355925561510699,0.0
a-35.00_x400_lp450,9,26,0.8955836453241421,0.539286018915065,-35.1,0.09162456945817153,448.08951148014256,14.959057614075057,,,400.0000001382264,6.337621303483096e-07,0.5113333333333334,0.7487870449679661,0.0
a-28.50_x400_lp550,10,26,0.888915532804096,0.49264394741699924,-28.6,0.06708203932499464,558.2740353229058,19.094190611227578,,,399.99999995575115,2.8787889452026507e-07,0.40680000000000005,0.7293589483399843,0.0
a-46.50_x400_lp350,9,26,0.8812811500696848,0.523537343149188,-46.4,0.04157397096415549,354.6791539277663,11.397709281761134,,,399.9999996190765,1.2038069065738312e-06,0.5471111111111111,0.7512604367956279,0.0
a-32.00_x400_lp500,9,25,0.8720554773814253,0.5156182134595402,-32.1,0.08164965809277377,511.3994934303779,15.437943330075216,,,399.9999998105107,3.021687052952754e-07,0.4673333333333334,0.7114309358574716,0.0
a-50.75_x400_lp350,10,19,0.8699212316871408,0.47219633591638965,-50.7,0.04582575694955579,342.6957905760621,10.868712722062437,,,399.99999924634074,1.2699915661205449e-06,0.5696,0.7022348837370451,0.0
a-43.25_x400_lp400,8,14,0.865080914124386,0.5473030982219488,-43.2,0.04841229182758996,395.5136605195422,10.031506088087335,,,399.9999995755074,6.878009996864747e-07,0.53,0.7790619644389754,0.0
a-43.00_x400_lp400,8,24,0.8649680181316178,0.5474055667488883,-43.0,0.05994789404140984,397.0009318834708,9.908725891537452,,,400.00000010726137,1.0053750952157873e-06,0.531,0.7732113349777658,0.0
a-31.25_x400_lp500,9,17,0.8643273744613915,0.5073950534078217,-31.2,0.049690399499996034,494.855806791393,16.59096765144135,,,399.9999999165723,2.851848021190773e-07,0.43955555555555553,0.7366121792675429,0.0
a-42.75_x400_lp400,8,16,0.8642333598538948,0.5464499763456508,-42.8,0.04841229182758996,399.2622823373398,9.98696524163418,,,400.0000005297968,7.204731348973964e-07,0.5285,0.7724995269130166,0.0
a-42.50_x400_lp400,8,24,0.8624663978394321,0.5453078829212865,-42.5,0.07806247497998109,400.40618768100876,10.241884658039217,,,399.99999931079185,7.817880590065729e-07,0.531,0.7330576584257278,0.0
a-57.25_x400_lp300,11,22,0.861908493648873,0.424175300231218,-57.3,0.04810456929208073,309.5731988061608,10.437721572027092,,,400.0000000262944,1.260118818256543e-06,0.5841818181818181,0.7062682543644155,0.0
